bar,°C,m^3/kg,kJ/kg,kJ/kg,kJ/(kg*K)
P_bar,T_°C,v_m³_kg,u_kJ_kg,h_kJ_kg,s_kJ_kgK
25,20,0.0010006,83.8,86.3,0.2961
25,40,0.0010067,167.25,169.77,0.5715
25,80,0.001028,334.29,336.86,1.0737
25,100,0.0010423,418.24,420.85,1.305
25,140,0.0010784,587.82,590.52,1.7369
25,180,0.0011261,761.16,763.97,2.1375
25,200,0.0011555,849.9,852.8,2.3294
25,220,0.0011898,940.7,943.7,2.5174
25,223.99,0.0011973,959.1,962.1,2.5546
50,20,0.0009995,83.65,88.65,0.2956
50,40,0.0010056,166.95,171.97,0.5705
50,80,0.0010268,333.72,338.85,1.072
50,100,0.001041,417.52,422.72,1.303
50,140,0.0010768,586.76,592.15,1.7343
50,180,0.001124,759.63,765.25,2.1341
50,200,0.001153,848.1,853.9,2.3255
50,220,0.0011866,938.4,944.4,2.5128
50,263.99,0.0012859,1147.8,1154.2,2.9202
75,20,0.0009984,83.5,90.99,0.295
75,40,0.0010045,166.64,174.18,0.5696
75,80,0.0010256,333.15,340.84,1.0704
75,100,0.0010397,416.81,424.62,1.3011
75,140,0.0010752,585.72,593.78,1.7317
75,180,0.0011219,758.13,766.55,2.1308
75,220,0.0011835,936.2,945.1,2.5083
75,260,0.0012696,1124.4,1134,2.8763
75,290.59,0.0013677,1282,1292.2,3.1649
100,20,0.0009972,83.36,93.33,0.2945
100,40,0.0010034,166.35,176.38,0.5686
100,80,0.0010245,332.59,342.83,1.0688
100,100,0.0010385,416.12,426.5,1.2992
100,140,0.0010737,584.68,595.42,1.7292
100,180,0.0011199,756.65,767.84,2.1275
100,220,0.0011805,934.1,945.9,2.5039
100,260,0.0012645,1121.1,1133.7,2.8699
100,311.06,0.0014524,1393,1407.6,3.3596
150,20,0.000995,83.06,97.99,0.2934
150,40,0.0010013,165.76,180.78,0.5666
150,80,0.0010222,331.48,346.81,1.0656
150,100,0.0010361,414.74,430.28,1.2955
150,140,0.0010707,582.66,598.72,1.7242
150,180,0.0011159,753.76,770.5,2.121
150,220,0.0011748,929.9,947.5,2.4953
150,260,0.001255,1114.6,1133.4,2.8576
150,300,0.001377,1316.6,1337.3,3.226
150,342.24,0.0016581,1585.6,1610.5,3.6848
200,20,0.0009928,82.77,102.62,0.2923
200,40,0.0009992,165.17,185.16,0.5646
200,80,0.0010199,330.4,350.8,1.0624
200,100,0.0010337,413.39,434.06,1.2917
200,140,0.0010678,580.69,602.04,1.7193
200,180,0.001112,750.95,773.2,2.1147
200,220,0.0011693,925.9,949.3,2.487
200,260,0.0012462,1108.6,1133.5,2.8459
200,300,0.0013596,1306.1,1333.3,3.2071
200,365.81,0.002036,1785.6,1826.3,4.0139
250,20,0.0009907,82.47,107.24,0.2911
250,40,0.0009971,164.6,189.52,0.5626
250,100,0.0010313,412.08,437.85,1.2881
250,200,0.0011344,834.5,862.8,2.2961
250,300,0.0013442,1296.6,1330.2,3.19
300,20,0.0009886,82.17,111.84,0.2899
300,40,0.0009951,164.04,193.89,0.5607
300,100,0.001029,410.78,441.66,1.2844
300,200,0.0011302,831.4,865.3,2.2893
300,300,0.0013304,1287.9,1327.8,3.1741
