bar,°C,m^3/kg,m^3/kg,kJ/kg,kJ/kg,kJ/kg,kJ/kg,kJ/(kg*K),kJ/(kg*K),saturation_table
P_bar,T_°C,vf_m³_kg,vg_m³_kg,uf_kJ_kg,ug_kJ_kg,hf_kJ_kg,hg_kJ_kg,sf_kJ_kgK,sg_kJ_kgK,saturation_table
0.04,28.96,0.001004,34.8,121.45,2415.2,121.46,2554.4,0.4226,8.4746,pressure
0.06,36.16,0.0010064,23.739,151.53,2425,151.53,2567.4,0.521,8.3304,pressure
0.08,41.51,0.0010084,18.103,173.87,2432.2,173.88,2577,0.5926,8.2287,pressure
0.1,45.81,0.0010102,14.674,191.82,2437.9,191.83,2584.7,0.6493,8.1502,pressure
0.2,60.06,0.0010172,7.649,251.38,2456.7,251.4,2609.7,0.832,7.9085,pressure
0.3,69.1,0.0010223,5.229,289.2,2468.4,289.23,2625.3,0.9439,7.7686,pressure
0.4,75.87,0.0010265,3.993,317.53,2477,317.58,2636.8,1.0259,7.67,pressure
0.5,81.33,0.00103,3.24,340.44,2483.9,340.49,2645.9,1.091,7.5939,pressure
0.6,85.94,0.0010331,2.732,359.79,2489.6,359.86,2653.5,1.1453,7.532,pressure
0.7,89.95,0.001036,2.365,376.63,2494.5,376.7,2660,1.1919,7.4797,pressure
0.8,93.5,0.001038,2.087,391.58,2498.8,391.66,2665.8,1.2329,7.4346,pressure
0.9,96.71,0.001041,1.869,405.06,2502.6,405.15,2670.9,1.2695,7.3949,pressure
1,99.63,0.0010432,1.694,417.36,2506.1,417.46,2675.5,1.3026,7.3594,pressure
1.5,111.4,0.0010528,1.159,466.94,2519.7,467.11,2693.6,1.4336,7.2233,pressure
2,120.2,0.0010605,0.8857,504.49,2529.5,504.7,2706.7,1.5301,7.1271,pressure
2.5,127.4,0.0010672,0.7187,535.1,2537.2,535.37,2716.9,1.6072,7.0527,pressure
3,133.6,0.0010732,0.6058,561.15,2543.6,561.47,2725.3,1.6718,6.9919,pressure
3.5,138.9,0.0010786,0.5243,583.95,2546.9,584.33,2732.4,1.7275,6.9405,pressure
4,143.6,0.0010836,0.4625,604.31,2553.6,604.74,2738.6,1.7766,6.8959,pressure
4.5,147.9,0.0010882,0.414,622.25,2557.6,623.25,2743.9,1.8207,6.8565,pressure
5,151.9,0.0010926,0.3749,639.68,2561.2,640.23,2748.7,1.8607,6.8212,pressure
6,158.9,0.0011006,0.3157,669.9,2567.4,670.56,2756.8,1.9312,6.76,pressure
7,165,0.001108,0.2729,696.44,2572.5,697.22,2763.5,1.9922,6.708,pressure
8,170.4,0.0011148,0.2404,720.22,2576.8,721.11,2769.1,2.0462,6.6628,pressure
9,175.4,0.0011212,0.215,741.83,2580.5,742.83,2773.9,2.0946,6.6226,pressure
10,179.9,0.0011273,0.1944,761.68,2583.6,762.81,2778.1,2.1387,6.5863,pressure
15,198.3,0.0011539,0.1318,843.16,2594.5,844.84,2792.2,2.315,6.4448,pressure
20,212.4,0.0011767,0.09963,906.44,2600.3,908.79,2799.5,2.4474,6.3409,pressure
25,224,0.0011973,0.07998,959.11,2603.1,962.11,2803.1,2.5547,6.2575,pressure
30,233.9,0.0012165,0.06668,1004.8,2604.1,1008.4,2804.2,2.6457,6.1869,pressure
35,242.6,0.0012347,0.05707,1045.4,2603.7,1049.8,2803.4,2.7253,6.1253,pressure
40,250.4,0.0012522,0.04978,1082.3,2602.3,1087.3,2801.4,2.7964,6.0701,pressure
45,257.5,0.0012692,0.04406,1116.2,2600.1,1121.9,2798.3,2.861,6.0199,pressure
50,264,0.0012859,0.03944,1147.8,2597.1,1154.2,2794.3,2.9202,5.9734,pressure
60,275.6,0.0013187,0.03244,1205.4,2589.7,1213.4,2784.3,3.0267,5.8892,pressure
70,285.9,0.0013513,0.02737,1257.6,2580.5,1267,2772.1,3.1211,5.8133,pressure
80,295.1,0.0013842,0.02352,1305.6,2569.8,1316.6,2758,3.2068,5.7432,pressure
90,303.4,0.0014178,0.02048,1350.5,2557.8,1363.3,2742.1,3.2858,5.6772,pressure
100,311.1,0.0014524,0.01803,1393,2544.4,1407.6,2724.7,3.3596,5.6141,pressure
110,318.2,0.0014886,0.01599,1433.7,2529.8,1450.1,2705.6,3.4295,5.5527,pressure
120,324.8,0.0015267,0.01426,1473,2513.7,1491.3,2684.9,3.4962,5.4924,pressure
130,330.9,0.0015671,0.01278,1511.1,2496.1,1531.5,2662.2,3.5606,5.4323,pressure
140,336.8,0.0016107,0.01149,1548.6,2476.8,1571.1,2637.6,3.6232,5.3717,pressure
150,342.2,0.0016581,0.01034,1585.6,2455.5,1610.5,2610.5,3.6848,5.3098,pressure
160,347.4,0.0017107,0.009306,1622.7,2431.7,1650.1,2580.6,3.7461,5.2455,pressure
170,352.4,0.0017702,0.008364,1660.2,2405,1690.3,2547.2,3.8079,5.1777,pressure
180,357.1,0.0018397,0.007489,1698.9,2374.3,1732,2509.1,3.8715,5.1044,pressure
190,361.5,0.0019243,0.006657,1739.9,2338.1,1776.5,2464.5,3.9388,5.0228,pressure
200,365.8,0.002036,0.005834,1785.6,2293,1826.3,2409.7,4.0139,4.9269,pressure
220.9,374.1,0.003155,0.003155,2029.6,2029.6,2099.3,2099.3,4.4298,4.4298,pressure
