bar,°C,m^3/kg,m^3/kg,kJ/kg,kJ/kg,kJ/kg,kJ/kg,kJ/(kg*K),kJ/(kg*K),saturation_table
P_bar,T_°C,vf_m³_kg,vg_m³_kg,uf_kJ_kg,ug_kJ_kg,hf_kJ_kg,hg_kJ_kg,sf_kJ_kgK,sg_kJ_kgK,saturation_table
0.00611,0.01,0.0010002,206.136,0,2375.3,0.01,2501.4,0,9.1562,temperature
0.00813,4,0.0010001,157.232,16.77,2380.9,16.78,2508.7,0.061,9.0514,temperature
0.00872,5,0.0010001,147.12,20.97,2382.3,20.98,2510.6,0.0761,9.0257,temperature
0.00935,6,0.0010001,137.734,25.19,2383.6,25.2,2512.4,0.0912,9.0003,temperature
0.01072,8,0.0010002,120.917,33.59,2386.4,33.6,2516.1,0.1212,8.9501,temperature
0.01228,10,0.0010004,106.379,42,2389.2,42.01,2519.8,0.151,8.9008,temperature
0.01312,11,0.0010004,99.857,46.2,2390.5,46.2,2521.6,0.1658,8.8765,temperature
0.01402,12,0.0010005,93.784,50.41,2391.9,50.41,2523.4,0.1806,8.8524,temperature
0.01497,13,0.0010007,88.124,54.6,2393.3,54.6,2525.3,0.1953,8.8285,temperature
0.01598,14,0.0010008,82.848,58.79,2394.7,58.8,2527.1,0.2099,8.8048,temperature
0.01705,15,0.0010009,77.926,62.99,2396.1,62.99,2528.9,0.2245,8.7814,temperature
0.01818,16,0.0010011,73.333,67.18,2397.4,67.19,2530.8,0.239,8.7582,temperature
0.01938,17,0.0010012,69.044,71.38,2398.8,71.38,2532.6,0.2535,8.7351,temperature
0.02064,18,0.0010014,65.038,75.57,2400.2,75.58,2534.4,0.2679,8.7123,temperature
0.02198,19,0.0010016,61.293,79.76,2401.6,79.77,2536.2,0.2823,8.6897,temperature
0.02339,20,0.0010018,57.791,83.95,2402.9,83.96,2538.1,0.2966,8.6672,temperature
0.02487,21,0.001002,54.514,88.14,2404.3,88.14,2539.9,0.3109,8.645,temperature
